ticket_id,ticket_text,category,priority,channel,affected_users,clean_text
TCK-1341,Application crashes when uploading a large csv file. The request came through web form from a enterprise. The customer is blocked because nice to have. Affected users: 3. Please share the next steps.,Technical Issue,Low,web form,3,application crashes when uploading large csv file request came through web form enterprise customer blocked because nice affected users share next steps
TCK-1291,Integration webhook is not sending payloads. The request came through mobile app from a education team. The customer is frustrated because future reference. Affected users: 25. We need a clear update from support.,Technical Issue,Low,mobile app,25,integration webhook not sending payloads request came through mobile app education team customer frustrated because future reference affected users 25 need clear update support
TCK-1055,Payment failed but money was deducted from bank account. The request came through help desk from a startup. The customer is confused because production blocked. Affected users: 3. This is affecting our daily workflow.,Billing,High,help desk,3,payment failed but money deducted bank account request came through help desk startup customer confused because production blocked affected users affecting daily workflow
TCK-1199,Application crashes when uploading a large csv file. The request came through mobile app from a retail business. The customer is concerned because workflow delayed. Affected users: 1. Let us know if you need more information.,Technical Issue,Medium,mobile app,1,application crashes when uploading large csv file request came through mobile app retail business customer concerned because workflow delayed affected users let us know if need more information
TCK-1454,Please remove inactive users from our account. The request came through email from a agency. The customer is waiting because revenue impact. Affected users: 5. Let us know if you need more information.,Account,High,email,5,remove inactive users account request came through email agency customer waiting because revenue impact affected users let us know if need more information
TCK-1066,Payment failed but money was deducted from bank account. The request came through chat from a agency. The customer is frustrated because workflow delayed. Affected users: 3. We need a clear update from support.,Billing,Medium,chat,3,payment failed but money deducted bank account request came through chat agency customer frustrated because workflow delayed affected users need clear update support
TCK-1064,Need refund for duplicate subscription charge. The request came through email from a retail business. The customer is blocked because needs attention. Affected users: 2. Let us know if you need more information.,Billing,Medium,email,2,need refund duplicate subscription charge request came through email retail business customer blocked because needs attention affected users let us know if need more information
TCK-1146,Invoice amount is incorrect after plan renewal. The request came through chat from a startup. The customer is concerned because production blocked. Affected users: 2. Please share the next steps.,Billing,High,chat,2,invoice amount incorrect after plan renewal request came through chat startup customer concerned because production blocked affected users share next steps
TCK-1293,Application crashes when uploading a large csv file. The request came through chat from a startup. The customer is frustrated because future reference. Affected users: 2. This is affecting our daily workflow.,Technical Issue,Low,chat,2,application crashes when uploading large csv file request came through chat startup customer frustrated because future reference affected users affecting daily workflow
TCK-1391,Two factor authentication code is not working. The request came through help desk from a retail business. The customer is frustrated because when possible. Affected users: 80. Let us know if you need more information.,Account,Low,help desk,80,two factor authentication code not working request came through help desk retail business customer frustrated because when possible affected users 80 let us know if need more information
TCK-1707,Need guidance on choosing the right package. The request came through email from a agency. The customer is blocked because urgent. Affected users: 1. This is affecting our daily workflow.,General Query,High,email,1,need guidance choosing right package request came through email agency customer blocked because urgent affected users affecting daily workflow
TCK-1449,Cannot update profile and organization details. The request came through chat from a enterprise. The customer is blocked because important. Affected users: 1. We need a clear update from support.,Account,Medium,chat,1,cannot update profile organization details request came through chat enterprise customer blocked because important affected users need clear update support
TCK-1040,Need refund for duplicate subscription charge. The request came through mobile app from a education team. The customer is concerned because cannot access. Affected users: 1. We need a clear update from support.,Billing,High,mobile app,1,need refund duplicate subscription charge request came through mobile app education team customer concerned because cannot access affected users need clear update support
TCK-1102,Payment failed but money was deducted from bank account. The request came through chat from a education team. The customer is frustrated because minor question. Affected users: 3. Can your team help us resolve this?,Billing,Low,chat,3,payment failed but money deducted bank account request came through chat education team customer frustrated because minor question affected users can your team help us resolve
TCK-1431,Unable to reset password using registered email. The request came through mobile app from a retail business. The customer is waiting because important. Affected users: 10. This is affecting our daily workflow.,Account,Medium,mobile app,10,unable reset password using registered email request came through mobile app retail business customer waiting because important affected users 10 affecting daily workflow
TCK-1329,Integration webhook is not sending payloads. The request came through chat from a agency. The customer is frustrated because when possible. Affected users: 1. Can your team help us resolve this?,Technical Issue,Low,chat,1,integration webhook not sending payloads request came through chat agency customer frustrated because when possible affected users can your team help us resolve
TCK-1087,Invoice amount is incorrect after plan renewal. The request came through help desk from a retail business. The customer is confused because small clarification. Affected users: 10. Can your team help us resolve this?,Billing,Low,help desk,10,invoice amount incorrect after plan renewal request came through help desk retail business customer confused because small clarification affected users 10 can your team help us resolve
TCK-1628,Do you support custom onboarding for teams. The request came through chat from a startup. The customer is frustrated because nice to have. Affected users: 5. We need a clear update from support.,General Query,Low,chat,5,do support custom onboarding teams request came through chat startup customer frustrated because nice affected users need clear update support
TCK-1260,Mobile app freezes on the login screen. The request came through web form from a startup. The customer is waiting because important. Affected users: 5. We need a clear update from support.,Technical Issue,Medium,web form,5,mobile app freezes login screen request came through web form startup customer waiting because important affected users need clear update support
TCK-1214,Mobile app freezes on the login screen. The request came through chat from a retail business. The customer is confused because not urgent. Affected users: 1. Please share the next steps.,Technical Issue,Low,chat,1,mobile app freezes login screen request came through chat retail business customer confused because not urgent affected users share next steps
TCK-1447,Two factor authentication code is not working. The request came through chat from a startup. The customer is waiting because before tomorrow. Affected users: 25. This is affecting our daily workflow.,Account,Medium,chat,25,two factor authentication code not working request came through chat startup customer waiting because before tomorrow affected users 25 affecting daily workflow
TCK-1368,Two factor authentication code is not working. The request came through mobile app from a agency. The customer is confused because urgent. Affected users: 5. This is affecting our daily workflow.,Account,High,mobile app,5,two factor authentication code not working request came through mobile app agency customer confused because urgent affected users affecting daily workflow
